name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
dangerous ishq,2012,130,Mystery,3.9,847,Vikram Bhatt,Karisma Kapoor,Rajniesh Duggall,Divya Dutta
dangerous ishq,2012,130,Romance,3.9,847,Vikram Bhatt,Karisma Kapoor,Rajniesh Duggall,Divya Dutta
dank,2019,108,Horror,5.7,19,Pushkar Manohar,Sharad Ponkshe,Smita Shewale,Ananda Karekar
dank,2019,108,Thriller,5.7,19,Pushkar Manohar,Sharad Ponkshe,Smita Shewale,Ananda Karekar
dansh,2005,103,Drama,7,65,Kamika Verma,Kanika Verma,Kay Kay Menon,Sonali Kulkarni
dansh,2018,85,Drama,8.3,9,Balmukund Tripathi,Abhishek Brahmachari,Ajay Dubey,Harsh Gupta
daraar,1996,105,Action,5.4,506,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Rishi Kapoor,Juhi Chawla
daraar,1996,105,Drama,5.4,506,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Rishi Kapoor,Juhi Chawla
daraar,1996,105,Romance,5.4,506,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Rishi Kapoor,Juhi Chawla
darbaan,2020,145,Drama,7.5,727,Bipin Nadkarni,Sharib Hashmi,Sharad Kelkar,Mukesh Ramani
darbar,2020,159,Action,6.1,5175,A.R. Murugadoss,Rajinikanth,Nayanthara,Nivetha Thomas
darbar,2020,159,Thriller,6.1,5175,A.R. Murugadoss,Rajinikanth,Nayanthara,Nivetha Thomas
dard ka rishta,1982,152,Drama,7,64,Sunil Dutt,Sunil Dutt,Reena Roy,Smita Patil
darinda,2005,76,Horror,5.2,8,Kanti Shah,Anil Nagrath,Sapna Sappu,Vinod Tripathi
dariya dil,1988,146,Drama,5.1,191,K. Ravi Shankar,Govinda,Kimi Katkar,Roshni
darklight,2019,113,Drama,6.5,8,Mayur Hardas,Chandni,Raj Arjun,Ishan Chavan
darkness visible,2019,107,Thriller,5.6,329,Neil Biswas,Seema Biswas,Sayani Gupta,Salóme Gunnarsdóttir
darling,2007,128,Drama,3.8,589,Ram Gopal Varma,Fardeen Khan,Esha Deol,Isha Koppikar
darling,2007,128,Horror,3.8,589,Ram Gopal Varma,Fardeen Khan,Esha Deol,Isha Koppikar
darling,2007,128,Romance,3.8,589,Ram Gopal Varma,Fardeen Khan,Esha Deol,Isha Koppikar
darmiyaan in between,1997,128,Drama,7.2,62,Kalpana Lajmi,Kirron Kher,Arif Zakaria,Tabu
darna mana hai,2003,121,Horror,6.3,3207,Prawaal Raman,Saif Ali Khan,Sameera Reddy,Vivek Oberoi
darna zaroori hai,2006,108,Horror,5.4,1962,J.D. Chakravarthi,Manish Gupta,Sajid Khan,Jijy Philip
darogaji,1949,123,Crime,7.7,9,Akhtar Hussein,Nargis,Paidi Jairaj,Rashid Khan
darogaji,1949,123,Drama,7.7,9,Akhtar Hussein,Nargis,Paidi Jairaj,Rashid Khan
darogaji,1949,123,Romance,7.7,9,Akhtar Hussein,Nargis,Paidi Jairaj,Rashid Khan
darpan,1970,140,Drama,7.1,37,Adurthi Subba Rao,Sunil Dutt,Waheeda Rehman,Sonia Sahni
darpan,1970,140,Family,7.1,37,Adurthi Subba Rao,Sunil Dutt,Waheeda Rehman,Sonia Sahni
darr,1993,178,Action,7.8,22635,Yash Chopra,Juhi Chawla,Sunny Deol,Shah Rukh Khan
darr,1993,178,Drama,7.8,22635,Yash Chopra,Juhi Chawla,Sunny Deol,Shah Rukh Khan
darr,1993,178,Romance,7.8,22635,Yash Chopra,Juhi Chawla,Sunny Deol,Shah Rukh Khan
darr  the mall,2014,124,Horror,4.9,936,Pawan Kripalani,Jimmy Sheirgill,Nushrat Bharucha,Arif Zakaria
darr  the mall,2014,124,Thriller,4.9,936,Pawan Kripalani,Jimmy Sheirgill,Nushrat Bharucha,Arif Zakaria
darwaza,1978,117,Horror,6,89,Shyam Ramsay,Tulsi Ramsay,Anil Dhawan,Shyamalee
darwaza,2002,84,Horror,4.3,50,Kanti Shah,Arun Mathur,Anil Nagrath,Amit Pachori
darwaza bandh rakho,2006,106,Comedy,5.3,337,J.D. Chakravarthi,Ishrat Ali,Abhay Bhargava,Snehal Dabi
darwaza bandh rakho,2006,106,Crime,5.3,337,J.D. Chakravarthi,Ishrat Ali,Abhay Bhargava,Snehal Dabi
darwaza bandh rakho,2006,106,Drama,5.3,337,J.D. Chakravarthi,Ishrat Ali,Abhay Bhargava,Snehal Dabi
dashavatar,2008,119,Animation,6.4,110,Bhavik Thakore,Vinay Apte,Kenneth Desai,Rupali Ganguly
dashavatar,2008,119,Family,6.4,110,Bhavik Thakore,Vinay Apte,Kenneth Desai,Rupali Ganguly
dassehra,2018,131,Action,3.8,316,Manish Vatssalya,Saurabh Choudhary,Neil Nitin Mukesh,Tina Desai
dassehra,2018,131,Thriller,3.8,316,Manish Vatssalya,Saurabh Choudhary,Neil Nitin Mukesh,Tina Desai
dastaan,1972,173,Comedy,6.9,122,B.R. Chopra,Dilip Kumar,Sharmila Tagore,Prem Chopra
dastaan,1972,173,Drama,6.9,122,B.R. Chopra,Dilip Kumar,Sharmila Tagore,Prem Chopra
dastaan,1972,173,Thriller,6.9,122,B.R. Chopra,Dilip Kumar,Sharmila Tagore,Prem Chopra
dastak,1996,141,Drama,4.7,293,Mahesh Bhatt,Sushmita Sen,Mukul Dev,Sharad S. Kapoor
dastak,1996,141,Romance,4.7,293,Mahesh Bhatt,Sushmita Sen,Mukul Dev,Sharad S. Kapoor
dastak,1970,145,Drama,7.1,122,Rajinder Singh Bedi,Sanjeev Kumar,Rehana Sultan,Shakeela Bano Bhopali
dastan,1950,122,Drama,6.8,61,Abdul Rashid Kardar,Suraiya,Raj Kapoor,Veena
dastan,1950,122,Family,6.8,61,Abdul Rashid Kardar,Suraiya,Raj Kapoor,Veena
dastan,1950,122,Romance,6.8,61,Abdul Rashid Kardar,Suraiya,Raj Kapoor,Veena
dasvidaniya,2008,113,Comedy,7.8,6140,Shashant Shah,Vinay Pathak,Sarita Joshi,Rajat Kapoor
dasvidaniya,2008,113,Drama,7.8,6140,Shashant Shah,Vinay Pathak,Sarita Joshi,Rajat Kapoor
dattak,2001,125,Drama,7.4,57,Gul Bahar Singh,Rajit Kapoor,Anjan Srivastav,A.K. Hangal
daud fun on the run,1997,180,Action,5.9,1006,Ram Gopal Varma,Sanjay Dutt,Urmila Matondkar,Paresh Rawal
daud fun on the run,1997,180,Adventure,5.9,1006,Ram Gopal Varma,Sanjay Dutt,Urmila Matondkar,Paresh Rawal
daud fun on the run,1997,180,Comedy,5.9,1006,Ram Gopal Varma,Sanjay Dutt,Urmila Matondkar,Paresh Rawal
daulat,1982,150,Action,6.1,35,Mohan Segal,Vinod Khanna,Zeenat Aman,Amjad Khan
daulat,1982,150,Crime,6.1,35,Mohan Segal,Vinod Khanna,Zeenat Aman,Amjad Khan
daulat,1982,150,Drama,6.1,35,Mohan Segal,Vinod Khanna,Zeenat Aman,Amjad Khan
daulat ki jung,1992,143,Action,5.7,834,S.A. Kader,Aamir Khan,Juhi Chawla,Shafi Inamdar
daulat ki jung,1992,143,Adventure,5.7,834,S.A. Kader,Aamir Khan,Juhi Chawla,Shafi Inamdar
daulat ki jung,1992,143,Romance,5.7,834,S.A. Kader,Aamir Khan,Juhi Chawla,Shafi Inamdar
david,2013,155,Action,6.2,2608,Bejoy Nambiar,Vikram,Neil Nitin Mukesh,Vinay Virmani
david,2013,155,Crime,6.2,2608,Bejoy Nambiar,Vikram,Neil Nitin Mukesh,Vinay Virmani
david,2013,155,Drama,6.2,2608,Bejoy Nambiar,Vikram,Neil Nitin Mukesh,Vinay Virmani
dayar e madina,1975,137,Drama,7.2,6,A. Shamsheer,Nazima,Tabrez,Heena Kausar
dayavan,1988,173,Action,6.5,548,Feroz Khan,Vinod Khanna,Feroz Khan,Amala Akkineni
dayavan,1988,173,Crime,6.5,548,Feroz Khan,Vinod Khanna,Feroz Khan,Amala Akkineni
