name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
dev.d,2009,144,Romance,8,29283,Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin
devaki,2005,87,Drama,4.2,31,Bappaditya Bandopadhyay,Ram Kapoor,Suman Ranganath,Arvin Tucker
devar,1966,156,Crime,7.2,81,Mohan Segal,Dharmendra,Sharmila Tagore,Shashikala
devar,1966,156,Drama,7.2,81,Mohan Segal,Dharmendra,Sharmila Tagore,Shashikala
devar,1966,156,Romance,7.2,81,Mohan Segal,Dharmendra,Sharmila Tagore,Shashikala
devata,1978,148,Drama,7.1,50,S. Ramanathan,Sanjeev Kumar,Shabana Azmi,Rakesh Roshan
devata,1978,148,Family,7.1,50,S. Ramanathan,Sanjeev Kumar,Shabana Azmi,Rakesh Roshan
devdas,2002,185,Drama,7.6,39573,Sanjay Leela Bhansali,Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit
devdas,2002,185,Musical,7.6,39573,Sanjay Leela Bhansali,Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit
devdas,2002,185,Romance,7.6,39573,Sanjay Leela Bhansali,Shah Rukh Khan,Aishwarya Rai Bachchan,Madhuri Dixit
devdas,1936,139,Drama,6.2,91,P.C. Barua,K.L. Saigal,A.H. Shore,Pahadi Sanyal
devdas,1936,139,Romance,6.2,91,P.C. Barua,K.L. Saigal,A.H. Shore,Pahadi Sanyal
devdas,1955,159,Drama,7.9,1731,Bimal Roy,Dilip Kumar,Suchitra Sen,Vyjayanthimala
devdas,1955,159,Musical,7.9,1731,Bimal Roy,Dilip Kumar,Suchitra Sen,Vyjayanthimala
devdas,1955,159,Romance,7.9,1731,Bimal Roy,Dilip Kumar,Suchitra Sen,Vyjayanthimala
devi ahilya bai,2002,146,Biography,6.6,17,Jayoo,Natiker,Sadashiv Amrapurkar,Shabana Azmi
